title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Cisco AI-powered Support - Cisco,https://www.cisco.com/site/us/en/services/success-tracks/index.html,7.4,0,44,0,0,0,0,0,16,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Sitemap - Cisco,https://www.cisco.com/site/us/en/about/sitemap.html,7.3,0,2,0,0,1,2,0,11,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Learning Resources - Cisco,https://www.cisco.com/site/us/en/learn/index.html,7.3,0,2,0,1,1,10,1,18,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Insider | Product & Experience Programs - Cisco,https://www.cisco.com/site/us/en/about/cisco-insider/index.html,6.9,0,1,0,2,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Education: Digital Education Solutions - Cisco,https://www.cisco.com/site/us/en/solutions/industries/education/index.html,6.4,0,14,0,0,0,0,1,16,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Assurance – End-User Experience - Cisco,https://www.cisco.com/site/us/en/products/networking/networking-cloud/networking-solutions/assurance/index.html,6.2,0,3,0,0,1,1,0,23,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Suppliers - Cisco,https://www.cisco.com/c/en/us/about/suppliers.html,6.1,0,0,0,2,0,0,0,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Export and Contract Compliance - Cisco,https://www.cisco.com/c/en/us/about/legal/global-export-trade/general-export-compliance.html,5.7,0,0,0,0,0,2,0,29,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Networking for Service Providers - Cisco,https://www.cisco.com/site/us/en/solutions/service-provider/index.html,5.6,0,1,0,1,0,0,0,29,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Company Store - Cisco,https://www.cisco.com/c/en/us/about/company-store.html,5.2,0,2,0,0,0,0,0,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Brand Center - Cisco,https://www.cisco.com/c/en/us/about/brand-center.html,4.8,0,2,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
